run_id,bin,n,share,accuracy,accuracy_gold,gold_matches_panel,majority_baseline,lift,error_share,arch,label_mode,seed,test_accuracy
fmh_convnext_tiny_hard_none_s224_full_bce_nfull_seed0,0,180,0.282574568288854,0.5222222222222223,0.9833333333333333,0.5055555555555555,0.5055555555555555,0.01666666666666672,0.46236559139784944,convnext_tiny,hard,0,0.7080062794348508
fmh_convnext_tiny_hard_none_s224_full_bce_nfull_seed0,1,179,0.28100470957613816,0.7150837988826816,0.9776536312849162,0.7262569832402235,0.5027932960893855,0.2122905027932961,0.27419354838709675,convnext_tiny,hard,0,0.7080062794348508
fmh_convnext_tiny_hard_none_s224_full_bce_nfull_seed0,2,163,0.25588697017268447,0.7914110429447853,0.9754601226993865,0.7914110429447853,0.7116564417177914,0.07975460122699385,0.1827956989247312,convnext_tiny,hard,0,0.7080062794348508
fmh_convnext_tiny_hard_none_s224_full_bce_nfull_seed0,3,91,0.14285714285714285,0.8461538461538461,0.967032967032967,0.8351648351648352,0.945054945054945,-0.09890109890109888,0.07526881720430108,convnext_tiny,hard,0,0.7080062794348508
fmh_convnext_tiny_hard_none_s224_full_bce_nfull_seed0,4,24,0.03767660910518053,0.9583333333333334,1.0,0.9583333333333334,1.0,-0.04166666666666663,0.005376344086021506,convnext_tiny,hard,0,0.7080062794348508
fmh_convnext_tiny_hard_none_s224_full_bce_nfull_seed1,0,180,0.282574568288854,0.5333333333333333,0.9722222222222222,0.5055555555555555,0.5055555555555555,0.02777777777777779,0.4540540540540541,convnext_tiny,hard,1,0.7095761381475667
fmh_convnext_tiny_hard_none_s224_full_bce_nfull_seed1,1,179,0.28100470957613816,0.7150837988826816,0.9664804469273743,0.7262569832402235,0.5027932960893855,0.2122905027932961,0.2756756756756757,convnext_tiny,hard,1,0.7095761381475667
fmh_convnext_tiny_hard_none_s224_full_bce_nfull_seed1,2,163,0.25588697017268447,0.7791411042944786,0.9754601226993865,0.7914110429447853,0.7116564417177914,0.06748466257668717,0.1945945945945946,convnext_tiny,hard,1,0.7095761381475667
fmh_convnext_tiny_hard_none_s224_full_bce_nfull_seed1,3,91,0.14285714285714285,0.8571428571428571,0.978021978021978,0.8351648351648352,0.945054945054945,-0.08791208791208793,0.07027027027027027,convnext_tiny,hard,1,0.7095761381475667
fmh_convnext_tiny_hard_none_s224_full_bce_nfull_seed1,4,24,0.03767660910518053,0.9583333333333334,1.0,0.9583333333333334,1.0,-0.04166666666666663,0.005405405405405406,convnext_tiny,hard,1,0.7095761381475667
fmh_convnext_tiny_hard_none_s224_full_bce_nfull_seed2,0,180,0.282574568288854,0.5277777777777778,0.9666666666666667,0.5055555555555555,0.5055555555555555,0.022222222222222254,0.46195652173913043,convnext_tiny,hard,2,0.7111459968602826
fmh_convnext_tiny_hard_none_s224_full_bce_nfull_seed2,1,179,0.28100470957613816,0.7150837988826816,0.9776536312849162,0.7262569832402235,0.5027932960893855,0.2122905027932961,0.27717391304347827,convnext_tiny,hard,2,0.7111459968602826
fmh_convnext_tiny_hard_none_s224_full_bce_nfull_seed2,2,163,0.25588697017268447,0.7914110429447853,0.9754601226993865,0.7914110429447853,0.7116564417177914,0.07975460122699385,0.18478260869565216,convnext_tiny,hard,2,0.7111459968602826
fmh_convnext_tiny_hard_none_s224_full_bce_nfull_seed2,3,91,0.14285714285714285,0.8571428571428571,0.978021978021978,0.8351648351648352,0.945054945054945,-0.08791208791208793,0.07065217391304347,convnext_tiny,hard,2,0.7111459968602826
fmh_convnext_tiny_hard_none_s224_full_bce_nfull_seed2,4,24,0.03767660910518053,0.9583333333333334,1.0,0.9583333333333334,1.0,-0.04166666666666663,0.005434782608695652,convnext_tiny,hard,2,0.7111459968602826
fmh_resnet50_hard_none_s224_full_bce_nfull_seed0,0,180,0.282574568288854,0.5333333333333333,0.95,0.5055555555555555,0.5055555555555555,0.02777777777777779,0.45161290322580644,resnet50,hard,0,0.7080062794348508
fmh_resnet50_hard_none_s224_full_bce_nfull_seed0,1,179,0.28100470957613816,0.7262569832402235,0.9664804469273743,0.7262569832402235,0.5027932960893855,0.22346368715083798,0.26344086021505375,resnet50,hard,0,0.7080062794348508
fmh_resnet50_hard_none_s224_full_bce_nfull_seed0,2,163,0.25588697017268447,0.7668711656441718,0.9631901840490797,0.7914110429447853,0.7116564417177914,0.05521472392638038,0.20430107526881722,resnet50,hard,0,0.7080062794348508
fmh_resnet50_hard_none_s224_full_bce_nfull_seed0,3,91,0.14285714285714285,0.8461538461538461,0.967032967032967,0.8351648351648352,0.945054945054945,-0.09890109890109888,0.07526881720430108,resnet50,hard,0,0.7080062794348508
fmh_resnet50_hard_none_s224_full_bce_nfull_seed0,4,24,0.03767660910518053,0.9583333333333334,1.0,0.9583333333333334,1.0,-0.04166666666666663,0.005376344086021506,resnet50,hard,0,0.7080062794348508
fmh_resnet50_hard_none_s224_full_bce_nfull_seed1,0,180,0.282574568288854,0.5277777777777778,0.9666666666666667,0.5055555555555555,0.5055555555555555,0.022222222222222254,0.4521276595744681,resnet50,hard,1,0.7048665620094191
