run_id,bin,agreement_low,agreement_high,n,share,featured_fraction,majority_baseline,lift,error_share,accuracy,balanced_accuracy,auc_roc,ece,brier,arch,dataset,label_mode,policy,size,finetune,loss,train_size,seed,orientation_pooled,pretrained
cnn_deep_hard_d4_s128_full_bce_nfull_seed0,0,0.0,0.2,5122,0.10713688085676037,0.4328387348691917,0.5671612651308082,0.07575165950800478,0.6458333333333334,0.642912924638813,0.6352568208267053,0.6893026581485423,0.14778132024111762,0.2447891469854436,cnn_deep,gz2,hard,d4,128,full,bce,0,0,False,True
cnn_deep_hard_d4_s128_full_bce_nfull_seed0,1,0.2,0.4,5706,0.11935240963855422,0.38310550297932,0.61689449702068,0.25341745531019977,0.2612994350282486,0.8703119523308798,0.8595197745986858,0.9364854731556185,0.01723513681519143,0.09539402207245823,cnn_deep,gz2,hard,d4,128,full,bce,0,0,False,True
cnn_deep_hard_d4_s128_full_bce_nfull_seed0,2,0.4,0.6,6977,0.14593791834002678,0.29281926329367924,0.7071807367063208,0.2630070230758206,0.07344632768361582,0.9701877597821413,0.9595627034565516,0.9949185340473694,0.030960042309715163,0.024951190068914615,cnn_deep,gz2,hard,d4,128,full,bce,0,0,False,True
cnn_deep_hard_d4_s128_full_bce_nfull_seed0,3,0.6,0.8,13454,0.2814173360107095,0.16701352757544224,0.8329864724245577,0.16352014270848825,0.016596045197740113,0.996506615133046,0.9914985543914894,0.999905647373977,0.008715167099825082,0.00343189835989926,cnn_deep,gz2,hard,d4,128,full,bce,0,0,False,True
cnn_deep_hard_d4_s128_full_bce_nfull_seed0,4,0.8,1.0,16549,0.34615545515394913,0.22859387274155538,0.7714061272584446,0.22811045984651646,0.002824858757062147,0.999516587104961,0.9989426381178959,0.9999998343471906,0.002006623402211823,0.00043153441811854686,cnn_deep,gz2,hard,d4,128,full,bce,0,0,False,True
cnn_deep_hard_d4_s128_full_bce_nfull_seed1,0,0.0,0.2,5122,0.10713688085676037,0.4328387348691917,0.5671612651308082,0.07575165950800478,0.6319972356599862,0.642912924638813,0.6361648410770474,0.6875292393234255,0.14216330087003054,0.2455220788340192,cnn_deep,gz2,hard,d4,128,full,bce,0,1,False,True
cnn_deep_hard_d4_s128_full_bce_nfull_seed1,1,0.2,0.4,5706,0.11935240963855422,0.38310550297932,0.61689449702068,0.24588152821591303,0.2705597788527989,0.862776025236593,0.853585185685769,0.9326348457123846,0.01505131224549745,0.09888726659217058,cnn_deep,gz2,hard,d4,128,full,bce,0,1,False,True
cnn_deep_hard_d4_s128_full_bce_nfull_seed1,2,0.4,0.6,6977,0.14593791834002678,0.29281926329367924,0.7071807367063208,0.26042711767235205,0.07809260539046303,0.9676078543786728,0.9564480213710851,0.9936197949993264,0.03025124390508739,0.027287571983329383,cnn_deep,gz2,hard,d4,128,full,bce,0,1,False,True
cnn_deep_hard_d4_s128_full_bce_nfull_seed1,3,0.6,0.8,13454,0.2814173360107095,0.16701352757544224,0.8329864724245577,0.16329716069570388,0.017277125086385625,0.9962836331202616,0.9911868055318118,0.999794377989248,0.010364481284024068,0.004073267154333174,cnn_deep,gz2,hard,d4,128,full,bce,0,1,False,True
cnn_deep_hard_d4_s128_full_bce_nfull_seed1,4,0.8,1.0,16549,0.34615545515394913,0.22859387274155538,0.7714061272584446,0.22823131307027622,0.002073255010366275,0.9996374403287208,0.9992999822875734,0.9999995030415719,0.002183138230077445,0.0005401958662189269,cnn_deep,gz2,hard,d4,128,full,bce,0,1,False,True
cnn_deep_hard_d4_s128_full_bce_nfull_seed2,0,0.0,0.2,5122,0.10713688085676037,0.4328387348691917,0.5671612651308082,0.07028504490433429,0.6459130434782608,0.6374463100351425,0.6331081915133956,0.689123709219247,0.1416610009319921,0.24445684712924673,cnn_deep,gz2,hard,d4,128,full,bce,0,2,False,True
cnn_deep_hard_d4_s128_full_bce_nfull_seed2,1,0.2,0.4,5706,0.11935240963855422,0.38310550297932,0.61689449702068,0.2527164388363127,0.25878260869565217,0.8696109358569927,0.8614653944522999,0.9377148226316228,0.02272107861526427,0.09528229182690295,cnn_deep,gz2,hard,d4,128,full,bce,0,2,False,True
cnn_deep_hard_d4_s128_full_bce_nfull_seed2,2,0.4,0.6,6977,0.14593791834002678,0.29281926329367924,0.7071807367063208,0.2617170703740863,0.07547826086956522,0.9688978070804071,0.960801671639801,0.9939219230802046,0.032371984909646184,0.02697323045068355,cnn_deep,gz2,hard,d4,128,full,bce,0,2,False,True
cnn_deep_hard_d4_s128_full_bce_nfull_seed2,3,0.6,0.8,13454,0.2814173360107095,0.16701352757544224,0.8329864724245577,0.1633714880332987,0.017043478260869566,0.9963579604578564,0.9915872283872424,0.9998986384352173,0.009735806761988276,0.003597027827251706,cnn_deep,gz2,hard,d4,128,full,bce,0,2,False,True
cnn_deep_hard_d4_s128_full_bce_nfull_seed2,4,0.8,1.0,16549,0.34615545515394913,0.22859387274155538,0.7714061272584446,0.22811045984651646,0.002782608695652174,0.999516587104961,0.9990356418170474,0.9999990578496468,0.0018248900339439083,0.00048600389768763694,cnn_deep,gz2,hard,d4,128,full,bce,0,2,False,True
cnn_deep_hard_d4_s128_full_bce_nfull_seed3,0,0.0,0.2,5122,0.10713688085676037,0.4328387348691917,0.5671612651308082,0.07282311597032409,0.6467905997895476,0.6399843811011323,0.6325148263651941,0.6870979762855792,0.14558802312507313,0.24538473861640067,cnn_deep,gz2,hard,d4,128,full,bce,0,3,False,True
cnn_deep_hard_d4_s128_full_bce_nfull_seed3,1,0.2,0.4,5706,0.11935240963855422,0.38310550297932,0.61689449702068,0.2527164388363127,0.26096106629252896,0.8696109358569927,0.8595583724943858,0.9352715238501206,0.019866470398467614,0.0960725680425131,cnn_deep,gz2,hard,d4,128,full,bce,0,3,False,True
cnn_deep_hard_d4_s128_full_bce_nfull_seed3,2,0.4,0.6,6977,0.14593791834002678,0.29281926329367924,0.7071807367063208,0.2632936792317615,0.07225534900035076,0.9704744159380823,0.959621978297571,0.9944731046981189,0.029194846085673503,0.025371531234378145,cnn_deep,gz2,hard,d4,128,full,bce,0,3,False,True
